source_id	chromosome	chromosome_order_num	length
chr1	chr1	1	249250621
chr2	chr2	2	243199373
chr3	chr3	3	198022430
chr4	chr4	4	191154276
chr5	chr5	5	180915260
chr6	chr6	6	171115067
chr7	chr7	7	159138663
chr8	chr8	8	146364022
chr9	chr9	9	141213431
chr10	chr10	10	135534747
chr11	chr11	11	135006516
chr12	chr12	12	133851895
chr13	chr13	13	115169878
chr14	chr14	14	107349540
chr15	chr15	15	102531392
chr16	chr16	16	90354753
chr17	chr17	17	81195210
chr18	chr18	18	78077248
chr19	chr19	19	59128983
chr20	chr20	20	63025520
chr21	chr21	21	48129895
chr22	chr22	22	51304566
chrX	chrX	23	155270560
chrY	chrY	24	59373566
chrM	chrM	25	16569
GL877870.2	GL877870.2	26	66021
GL877872.1	GL877872.1	27	297485
GL383535.1	GL383535.1	28	429806
JH159133.1	JH159133.1	29	266316
KB663606.1	KB663606.1	30	305900
KB021647.1	KB021647.1	31	1058686
KE332497.1	KE332497.1	32	543325
JH159131.1	JH159131.1	33	393769
GL949745.1	GL949745.1	34	372609
JH720447.1	JH720447.1	35	454385
GL582968.1	GL582968.1	36	356330
JH720446.1	JH720446.1	37	97345
JH591181.2	JH591181.2	38	2281126
JH720443.2	JH720443.2	39	408430
JH159134.2	JH159134.2	40	3821770
JH636052.4	JH636052.4	41	7283150
JH636053.3	JH636053.3	42	1676126
JH636054.1	JH636054.1	43	758378
JH636056.1	JH636056.1	44	262912
JH636058.1	JH636058.1	45	716227
JH636057.1	JH636057.1	46	200195
KE332505.1	KE332505.1	47	579598
JH720451.1	JH720451.1	48	898979
JH720452.1	JH720452.1	49	522319
JH720453.1	JH720453.1	50	1461188
JH720454.3	JH720454.3	51	752267
JH159136.1	JH159136.1	52	200998
JH806587.1	JH806587.1	53	4110759
JH806588.1	JH806588.1	54	862483
JH806589.1	JH806589.1	55	270630
JH806590.2	JH806590.2	56	2418393
JH806591.1	JH806591.1	57	882083
JH806592.1	JH806592.1	58	835911
JH806593.1	JH806593.1	59	389631
JH806594.1	JH806594.1	60	390496
JH806595.1	JH806595.1	61	444074
JH806596.1	JH806596.1	62	413927
JH806597.1	JH806597.1	63	1045622
JH720448.1	JH720448.1	64	70483
JH806598.1	JH806598.1	65	899320
JH806599.1	JH806599.1	66	1214327
JH806600.2	JH806600.2	67	6530008
JH806601.1	JH806601.1	68	1389764
JH806602.1	JH806602.1	69	713266
JH806573.1	JH806573.1	70	24680
JH806574.2	JH806574.2	71	22982
JH806575.1	JH806575.1	72	47409
JH806580.1	JH806580.1	73	93149
JH806583.1	JH806583.1	74	167183
JH806584.1	JH806584.1	75	70876
JH806585.1	JH806585.1	76	73505
JH806603.1	JH806603.1	77	182949
JH159150.3	JH159150.3	78	3110903
GL582969.1	GL582969.1	79	251823
JH806577.1	JH806577.1	80	22394
JH806578.1	JH806578.1	81	169437
JH806579.1	JH806579.1	82	211307
JH159137.1	JH159137.1	83	191409
KE332502.1	KE332502.1	84	341712
KB021645.1	KB021645.1	85	1523386
KB663607.2	KB663607.2	86	334922
KE332500.1	KE332500.1	87	228602
KE332496.1	KE332496.1	88	503215
GL383558.1	GL383558.1	89	457041
GL582976.1	GL582976.1	90	412535
GL383523.1	GL383523.1	91	171362
KE332498.1	KE332498.1	92	149443
GL949743.1	GL949743.1	93	608579
KE332506.1	KE332506.1	94	307252
GL383536.1	GL383536.1	95	203777
JH591184.1	JH591184.1	96	462282
JH636061.1	JH636061.1	97	186059
JH806576.1	JH806576.1	98	273386
GL383524.1	GL383524.1	99	78793
GL582973.1	GL582973.1	100	321004
JH159138.1	JH159138.1	101	108875
KB021648.1	KB021648.1	102	469972
JH159139.1	JH159139.1	103	120441
JH159140.1	JH159140.1	104	546435
JH591182.1	JH591182.1	105	196262
JH159132.1	JH159132.1	106	100694
JH720449.1	JH720449.1	107	212298
JH591183.1	JH591183.1	108	177920
JH720444.2	JH720444.2	109	273128
JH159141.2	JH159141.2	110	240775
KB663604.1	KB663604.1	111	478993
JH720455.1	JH720455.1	112	65034
KB021646.2	KB021646.2	113	211416
JH159142.2	JH159142.2	114	326647
JH159143.1	JH159143.1	115	191402
JH806582.2	JH806582.2	116	342635
JH159135.2	JH159135.2	117	102251
KE332499.1	KE332499.1	118	274521
GL877877.2	GL877877.2	119	284527
JH806586.1	JH806586.1	120	43543
GL582979.2	GL582979.2	121	179899
KB663605.1	KB663605.1	122	155926
GL582975.1	GL582975.1	123	34662
GL949744.1	GL949744.1	124	276448
GL383543.1	GL383543.1	125	392792
GL877871.1	GL877871.1	126	389939
GL582967.1	GL582967.1	127	248177
JH159149.1	JH159149.1	128	245473
GL582977.2	GL582977.2	129	580393
GL582970.1	GL582970.1	130	354970
GL383559.2	GL383559.2	131	338640
JH159144.1	JH159144.1	132	388340
JH591186.1	JH591186.1	133	376223
GL383560.1	GL383560.1	134	534288
GL339450.1	GL339450.1	135	330164
GL582971.1	GL582971.1	136	1284284
GL582974.1	GL582974.1	137	163298
JH806581.1	JH806581.1	138	872115
JH636060.1	JH636060.1	139	437946
JH591185.1	JH591185.1	140	167437
